service,load,users,rps,p50,p95,p99,failures
go-rest,low,50,141.41884557979074,4.0,15.0,21.0,0
go-graphql,low,50,123.77644531111457,48.0,58.0,63.0,0
go-grpc,low,50,141.96182007692272,3.0,29.0,52.0,0
go-soap,low,50,125.6434812232012,47.0,56.0,60.0,0
python-rest,low,50,134.63117614583217,11.0,53.0,110.0,0
python-graphql,low,50,118.15302524714572,59.0,100.0,140.0,0
python-grpc,low,50,132.56376617231987,14.0,56.0,99.0,4
python-soap,low,50,7.295035180856593,4300.0,7300.0,7800.0,0
go-rest,medium,200,386.994679095081,28.0,160.0,280.0,86
go-graphql,medium,200,377.477461874357,57.0,98.0,150.0,0
go-grpc,medium,200,429.30102733728734,6.0,79.0,120.0,0
go-soap,medium,200,387.8130595684805,53.0,80.0,200.0,0
python-rest,medium,200,430.5899033985229,12.0,56.0,93.0,0
python-graphql,medium,200,377.8455436730693,57.0,110.0,160.0,0
python-grpc,medium,200,411.9713002895926,22.0,98.0,150.0,0
go-rest,high,500,667.1411685343637,140.0,340.0,490.0,0
go-graphql,high,500,594.5485859810163,210.0,420.0,650.0,0
go-grpc,high,500,783.0220912742637,46.0,440.0,510.0,196
go-soap,high,500,617.3063822896908,200.0,330.0,570.0,0
python-rest,high,500,617.895054439437,220.0,500.0,630.0,0
python-graphql,high,500,555.9042107706141,300.0,570.0,670.0,0
python-grpc,high,500,503.8223942426243,390.0,790.0,1100.0,0
python-soap,high,500,7.285912114706387,6600.0,12000.0,12000.0,0
