Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780887946,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780887947,50,,Aggregated,0.000000,0.000000,51,56,67,69,76,78,83,83,83,83,83,148,0,51,55.899699999993054,37.84999999970751,83.18510000026436,5927.993243243243
1780887948,100,,Aggregated,0.000000,0.000000,50,55,59,65,76,91,100,100,110,110,110,453,0,50,56.085524503293506,37.84999999970751,113.36979999941832,6884.366445916115
1780887949,150,,Aggregated,122.000000,0.000000,52,57,62,66,77,96,110,120,130,130,130,890,0,52,57.71854471909494,37.84999999970751,129.88119999954506,6840.133707865169
1780887950,200,,Aggregated,202.000000,0.000000,55,62,67,71,87,100,120,150,180,180,180,1438,0,55,61.82493247565223,3.7675999992643483,181.70129999998608,6453.207232267037
1780887951,250,,Aggregated,271.666667,0.000000,60,69,76,81,100,120,160,180,230,240,240,2070,0,60,67.44708188404297,3.7675999992643483,238.7639999997191,6545.319323671498
1780887952,300,,Aggregated,336.750000,0.000000,66,79,93,100,130,160,210,270,410,430,430,2791,0,66,78.97283772840129,3.7675999992643483,426.4770999998291,6648.064134718738
1780887953,400,,Aggregated,395.000000,0.000000,72,94,110,130,190,270,360,470,670,680,680,3451,0,72,101.17213109242664,3.7675999992643483,682.2891000001619,6852.185163720661
1780887954,450,,Aggregated,438.000000,0.000000,84,120,150,170,220,270,370,530,740,750,750,4261,0,84,116.3667989908368,3.7675999992643483,745.9262999991552,6842.878666979583
1780887955,500,,Aggregated,460.285714,0.000000,100,150,190,210,280,330,450,610,900,960,960,4953,0,100,139.06960864122198,3.7675999992643483,960.8038999995188,6820.33535231173
1780887956,500,,Aggregated,486.125000,0.000000,120,190,220,240,300,360,470,670,1100,1100,1100,5668,0,120,157.72964227240044,3.7675999992643483,1109.465700000328,6854.860973888497
