Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780887962,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780887963,50,,Aggregated,0.000000,0.000000,3,25,100,120,120,120,130,130,130,130,130,177,0,3,38.17140564966024,1.241400000253634,130.32119999934366,8043.180790960452
1780887964,100,,Aggregated,0.000000,0.000000,9,18,30,34,64,120,120,120,130,130,130,540,0,9,22.880390925884395,1.1415999997552717,130.32119999934366,8393.175925925925
1780887965,150,,Aggregated,135.000000,0.000000,5,13,25,31,42,75,120,120,130,130,130,1042,0,5,17.970460268690392,1.0712000002968125,130.32119999934366,8605.019193857965
1780887966,250,,Aggregated,228.000000,0.000000,7,14,25,33,49,63,120,120,130,130,130,1677,0,7,18.00165563505781,1.0712000002968125,130.32119999934366,8685.034585569469
1780887967,300,,Aggregated,309.333333,0.000000,9,16,29,37,58,82,110,120,130,140,140,2433,0,9,20.591227784628305,1.0712000002968125,139.44400000036694,8648.855322646938
1780887968,350,,Aggregated,387.500000,0.000000,8,15,25,35,67,110,120,130,140,150,150,3423,0,8,22.047225971367556,1.0712000002968125,147.37010000044393,8792.350277534326
1780887969,400,,Aggregated,456.800000,0.000000,9,16,32,44,100,130,170,190,200,200,200,4420,0,9,28.208316538463123,1.0712000002968125,198.5741999997117,8929.617194570135
1780887970,450,,Aggregated,532.166667,0.000000,11,24,52,75,140,260,310,340,380,390,390,5136,17,11,47.10271008567081,1.0712000002968125,390.3203999998368,8985.51207165109
1780887971,500,,Aggregated,596.571429,0.000000,14,44,100,130,280,330,350,370,400,410,410,6235,53,14,72.98782631916637,1.0712000002968125,405.62429999954475,8907.69206094627
1780887972,500,,Aggregated,625.750000,2.000000,16,61,130,200,310,340,360,380,410,410,410,7044,122,16,85.88858912549988,1.0712000002968125,411.3408999992316,8895.543725156162
