Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780887834,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780887835,20,,Aggregated,0.000000,0.000000,3,5,63,64,71,76,81,82,82,82,82,65,0,3,22.682153846108122,1.3395999994827434,81.896599999709,4925.138461538461
1780887836,60,,Aggregated,0.000000,0.000000,2,3,6,8,34,66,76,77,82,82,82,202,0,2,10.009689108918082,1.1712000004990841,81.896599999709,5936.480198019802
1780887837,80,,Aggregated,60.000000,0.000000,3,4,8,11,26,51,68,76,82,82,82,404,0,3,9.28233316831931,1.1387000004106085,81.896599999709,8469.089108910892
1780887838,100,,Aggregated,92.500000,0.000000,3,4,11,12,29,48,64,71,82,82,82,658,0,3,9.637001215824029,1.1387000004106085,81.896599999709,8526.22188449848
1780887839,120,,Aggregated,125.333333,0.000000,3,6,11,13,23,42,64,68,82,82,82,1000,0,3,9.258627900019746,1.1387000004106085,81.896599999709,8457.017
1780887840,140,,Aggregated,156.250000,0.000000,3,7,11,13,23,40,60,66,81,82,82,1417,0,3,9.449354410736127,1.1387000004106085,81.896599999709,8375.584333098095
1780887841,160,,Aggregated,188.800000,0.000000,4,9,12,15,30,45,62,66,82,82,82,1859,0,4,10.461845777304225,1.1387000004106085,81.896599999709,8267.52501344809
1780887842,180,,Aggregated,222.500000,0.000000,4,8,12,14,25,41,59,64,81,82,82,2395,0,4,9.923461210863952,1.1387000004106085,81.896599999709,8522.363256784969
1780887843,200,,Aggregated,254.285714,0.000000,4,11,14,17,35,56,73,86,100,110,110,2958,0,4,12.394869675459113,1.1387000004106085,105.39630000039324,8695.772143340095
1780887844,200,,Aggregated,287.000000,0.000000,4,11,14,17,35,59,77,88,100,130,130,3586,0,4,12.735936558838615,1.1387000004106085,133.8265999993382,8717.843279419967
