Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780887801,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780887802,20,,Aggregated,0.000000,0.000000,3,4,25,27,31,35,36,37,37,37,37,77,0,3,10.36142857143417,1.5372000007118913,36.76360000008572,18721.545454545456
1780887803,60,,Aggregated,0.000000,0.000000,3,4,10,18,30,35,37,38,41,41,41,206,0,3,9.208923300996247,1.4209000000846572,41.209900000467314,16904.868932038837
1780887804,80,,Aggregated,31.000000,0.000000,4,5,10,11,28,33,35,37,41,41,41,418,0,4,8.449307894733156,1.4209000000846572,41.209900000467314,16438.854066985645
1780887805,100,,Aggregated,59.000000,0.000000,4,7,11,13,27,34,48,67,81,81,81,684,0,4,9.436255263165693,1.4209000000846572,81.41919999980018,17086.01023391813
1780887806,120,,Aggregated,90.000000,0.000000,4,7,11,13,27,35,48,59,75,81,81,1018,0,4,9.714727308462983,1.4209000000846572,81.41919999980018,16027.61394891945
1780887807,140,,Aggregated,123.500000,0.000000,6,13,20,26,39,53,71,82,100,110,110,1393,0,6,14.728549892337945,1.4209000000846572,113.53539999981876,17031.465183058146
1780887808,160,,Aggregated,155.200000,0.000000,9,15,24,30,46,61,85,110,210,220,220,1820,0,9,18.1265302747476,1.4209000000846572,216.66579999964597,16990.663186813188
1780887809,180,,Aggregated,183.500000,0.000000,11,18,28,34,50,71,100,160,240,260,260,2314,0,11,21.119776404514596,1.4209000000846572,262.48370000030263,16309.101987899741
1780887810,200,,Aggregated,213.857143,0.000000,13,26,36,43,70,110,170,210,310,340,340,2808,36,13,28.80434537038562,1.4209000000846572,339.95450000020355,16737.06160968661
1780887811,200,,Aggregated,241.125000,0.000000,17,32,43,51,88,130,190,240,370,410,410,3380,36,17,34.855276301787036,1.4209000000846572,407.0848000001206,16869.3949704142
