Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780887979,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780887980,50,,Aggregated,0.000000,0.000000,48,52,54,57,65,69,76,77,77,77,77,157,0,48,51.4199356687635,30.972200000178418,77.39899999978661,28960.40127388535
1780887981,100,,Aggregated,0.000000,0.000000,50,53,56,59,70,85,91,95,100,100,100,457,0,50,53.72872341356037,30.972200000178418,100.6134999997812,25030.56236323851
1780887982,150,,Aggregated,65.000000,0.000000,52,56,59,61,71,85,97,100,120,120,120,913,0,52,55.46453559693336,30.972200000178418,115.93059999995603,24563.541073384447
1780887983,200,,Aggregated,134.000000,0.000000,55,60,65,69,83,96,110,150,170,180,180,1468,0,55,60.229403814716555,2.3949000005814014,179.11399999957212,23808.256130790192
1780887984,300,,Aggregated,208.666667,0.000000,57,63,68,72,88,100,130,160,190,210,210,2140,0,57,63.16768523364065,2.3949000005814014,210.82530000057886,23655.16355140187
1780887985,350,,Aggregated,273.500000,0.000000,61,74,87,98,130,160,190,230,380,390,390,2797,0,61,76.3602916338913,2.3949000005814014,385.06370000050083,23228.934572756523
1780887986,400,,Aggregated,337.800000,0.000000,68,95,110,120,170,200,240,320,570,580,580,3523,0,68,92.30131248935977,2.3949000005814014,577.0543999997244,22921.61226227647
1780887987,450,,Aggregated,382.500000,0.000000,81,120,150,170,210,270,320,530,860,880,880,4240,0,81,113.72017952830743,2.3949000005814014,876.4030000002094,23361.01132075472
1780887988,500,,Aggregated,418.571429,0.000000,99,150,180,200,260,290,400,570,950,960,960,5007,0,99,132.00884595566708,2.3949000005814014,956.799200000205,23516.87717195926
1780887990,500,,Aggregated,454.500000,0.000000,120,180,220,240,280,300,470,630,1000,1000,1000,5746,0,120,151.2289722415612,2.3949000005814014,1006.2121999999363,23387.522102332056
