Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780887722,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780887723,10,,Aggregated,0.000000,0.000000,45,45,46,46,49,50,54,54,54,54,54,33,0,45,38.92670606069949,13.843000000633765,54.180499999347376,16919.696969696968
1780887724,20,,Aggregated,0.000000,0.000000,45,46,47,48,49,54,56,56,56,56,56,100,0,45,40.91985500004739,10.632299999997485,56.28150000029564,21474.61
1780887725,30,,Aggregated,31.000000,0.000000,46,47,49,49,53,55,57,60,60,60,60,190,0,46,43.04199999999726,10.632299999997485,60.44890000066516,27035.22105263158
1780887726,50,,Aggregated,48.000000,0.000000,46,48,49,50,52,55,56,57,60,60,60,308,0,46,44.0116707792339,10.632299999997485,60.44890000066516,24622.75974025974
1780887727,50,,Aggregated,62.000000,0.000000,46,48,49,50,54,56,57,58,60,60,60,454,0,46,44.725911894289666,10.632299999997485,60.44890000066516,24202.237885462557
1780887728,50,,Aggregated,74.250000,0.000000,47,48,50,51,54,56,57,58,76,76,76,606,0,47,45.79717788780003,10.632299999997485,76.1173000000781,23505.3399339934
1780887729,50,,Aggregated,88.800000,0.000000,47,48,50,51,54,56,58,60,76,76,76,750,0,47,46.28525986667228,10.632299999997485,76.1173000000781,22448.052
1780887730,50,,Aggregated,98.166667,0.000000,47,48,50,51,54,56,58,60,76,76,76,896,0,47,46.51367220982345,10.632299999997485,76.1173000000781,22115.827008928572
1780887731,50,,Aggregated,105.571429,0.000000,47,49,50,51,54,56,58,60,62,76,76,1040,0,47,46.828732115385755,10.632299999997485,76.1173000000781,22638.115384615383
1780887732,50,,Aggregated,110.500000,0.000000,47,49,50,51,54,56,58,60,64,76,76,1175,0,47,47.01206051063445,10.632299999997485,76.1173000000781,23534.735319148935
