Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780887850,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780887851,40,,Aggregated,0.000000,0.000000,45,47,49,50,54,56,58,59,59,59,59,68,0,45,44.08019558822804,24.878799999896728,58.97579999964364,17193.985294117647
1780887852,60,,Aggregated,0.000000,0.000000,46,48,49,51,54,55,58,59,64,64,64,195,0,46,44.67698564100525,23.174099999778264,64.45369999983086,20668.061538461538
1780887853,80,,Aggregated,25.000000,0.000000,47,49,51,52,54,57,59,60,65,65,65,376,0,47,46.07819148934886,23.174099999778264,65.37750000006781,20959.40425531915
1780887854,100,,Aggregated,54.000000,0.000000,47,49,51,53,55,57,60,62,65,65,65,625,0,47,46.78019024000241,19.7067999997671,65.37750000006781,20434.9248
1780887855,120,,Aggregated,82.333333,0.000000,48,51,53,54,57,59,63,64,76,76,76,928,0,48,48.10614213361587,19.7067999997671,76.41120000062074,21492.04525862069
1780887856,140,,Aggregated,112.000000,0.000000,49,52,54,56,59,63,71,73,79,84,84,1277,0,49,49.82793375096628,19.7067999997671,83.92639999965468,22615.02270947533
1780887857,160,,Aggregated,142.200000,0.000000,50,53,55,57,61,66,74,77,86,95,95,1693,0,50,50.90939084464841,19.7067999997671,94.82939999998052,23488.689308919078
1780887858,180,,Aggregated,167.833333,0.000000,50,54,56,57,61,66,73,77,85,95,95,2172,0,50,51.52660046039777,19.7067999997671,94.82939999998052,23398.89779005525
1780887859,200,,Aggregated,197.714286,0.000000,51,54,57,58,62,66,74,78,85,95,95,2700,0,51,52.066804629622375,19.7067999997671,94.82939999998052,23084.67777777778
1780887860,200,,Aggregated,224.500000,0.000000,52,55,58,60,64,73,83,94,110,140,140,3289,0,52,53.580971267855666,4.348700000264216,143.28810000006342,22956.84311340833
