Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780888011,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780888012,100,,Aggregated,0.000000,0.000000,54,62,68,71,83,86,92,93,96,96,96,166,0,54,54.87596686749297,3.8881999998920946,96.13970000009431,5723.331325301205
1780888013,150,,Aggregated,0.000000,0.000000,54,61,65,68,81,89,98,110,130,130,130,470,0,54,56.4798514893637,3.8303999999698135,129.34080000013637,6979.653191489362
1780888014,200,,Aggregated,50.000000,0.000000,56,63,68,73,89,100,130,150,240,240,240,905,0,56,60.04800486188393,3.8303999999698135,236.19629999939207,7701.987845303867
1780888015,250,,Aggregated,121.000000,0.000000,58,68,77,88,130,160,200,240,280,300,300,1457,0,58,67.54973637612201,3.8303999999698135,299.49370000031195,7301.451612903225
1780888016,300,,Aggregated,188.333333,0.000000,64,86,110,120,150,190,240,270,340,430,430,2082,0,64,80.63869418828274,3.8303999999698135,430.06359999981214,7227.114313160423
1780888017,350,,Aggregated,245.750000,0.000000,80,120,150,160,220,260,300,340,450,600,600,2710,0,79,106.41809701107205,3.8303999999698135,595.2753000001394,7416.586715867159
1780888018,400,,Aggregated,306.600000,0.000000,110,160,200,220,270,300,360,400,550,610,610,3373,0,110,132.09332638601106,3.8303999999698135,610.6340999995155,7482.638304180255
1780888019,450,,Aggregated,357.666667,0.000000,140,200,240,250,290,330,390,440,590,680,680,4010,0,140,155.1479265336654,3.8303999999698135,681.8712999993295,7531.530673316708
1780888021,500,,Aggregated,424.875000,0.000000,170,240,270,290,350,410,470,550,840,900,900,4747,0,170,185.2210736254489,3.8303999999698135,904.9987999997029,7426.2633242047605
1780888022,500,,Aggregated,449.888889,0.000000,200,270,310,340,420,480,530,630,1100,1100,1100,5387,0,200,215.83019136810796,3.8303999999698135,1125.958100000389,7439.931873027659
