Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780887753,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780887754,20,,Aggregated,0.000000,0.000000,50,53,55,56,67,71,78,78,78,78,78,31,0,50,46.87909354834119,7.6798000000053435,78.13389999955689,8931.41935483871
1780887755,30,,Aggregated,0.000000,0.000000,51,53,55,58,69,71,96,100,100,100,100,87,0,51,50.46449425281444,6.042200000592857,101.39439999966271,6486.747126436781
1780887756,40,,Aggregated,11.000000,0.000000,53,56,59,63,71,78,84,96,100,100,100,172,0,53,54.48654941858686,6.042200000592857,101.39439999966271,7367.767441860465
1780887757,50,,Aggregated,27.000000,0.000000,56,60,65,69,78,89,92,100,180,180,180,287,0,56,57.96479094074874,6.042200000592857,183.45570000019507,7399.630662020906
1780887758,50,,Aggregated,41.000000,0.000000,57,64,70,72,84,100,130,150,200,200,200,432,0,57,60.751180787010355,6.042200000592857,200.2927000003183,7990.4537037037035
1780887759,50,,Aggregated,51.750000,0.000000,58,66,71,74,85,100,120,150,200,200,200,566,0,58,61.18721625439851,6.042200000592857,200.2927000003183,7851.104240282685
1780887760,50,,Aggregated,66.000000,0.000000,58,65,71,74,84,96,120,140,200,200,200,697,0,58,60.78940860830487,6.042200000592857,200.2927000003183,7255.350071736011
1780887761,50,,Aggregated,78.333333,0.000000,59,67,72,75,85,98,120,140,200,200,200,850,0,59,61.338887529401454,5.31680000040069,200.2927000003183,7422.438823529412
1780887762,50,,Aggregated,87.285714,0.000000,59,67,72,75,87,100,120,140,200,200,200,978,0,59,61.756981799582555,5.31680000040069,200.2927000003183,7738.262781186094
1780887763,50,,Aggregated,92.375000,0.000000,59,66,71,74,85,99,120,130,180,200,200,1111,0,59,61.00318433842726,5.31680000040069,200.2927000003183,7600.941494149415
