Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780887882,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780887883,20,,Aggregated,0.000000,0.000000,48,50,51,53,57,59,60,71,71,71,71,68,0,47,45.428139705911555,5.799600000500504,70.96079999973881,7356.088235294118
1780887884,40,,Aggregated,0.000000,0.000000,49,51,53,54,58,60,71,79,82,82,82,186,0,49,47.29217150538862,5.098800000268966,82.30790000015986,7224.623655913979
1780887885,60,,Aggregated,59.000000,0.000000,50,52,55,57,61,69,79,84,110,110,110,360,0,50,49.61818638888518,4.438799999661569,107.61779999938881,7735.241666666667
1780887886,80,,Aggregated,90.000000,0.000000,50,53,55,57,62,68,75,79,110,110,110,603,0,50,50.5093761194015,4.438799999661569,107.61779999938881,7555.0878938640135
1780887887,120,,Aggregated,114.333333,0.000000,51,54,56,58,64,70,81,85,110,110,110,894,0,50,51.724541163316815,4.438799999661569,107.61779999938881,7382.086129753915
1780887888,140,,Aggregated,142.750000,0.000000,51,55,58,60,66,73,82,85,110,110,110,1235,0,51,52.802593360329155,4.187399999864283,107.61779999938881,7290.496356275304
1780887889,160,,Aggregated,171.200000,0.000000,52,56,59,61,69,77,89,110,150,150,150,1628,0,52,54.51655552825777,4.065400000399677,151.4566999994713,7155.133292383292
1780887890,180,,Aggregated,200.166667,0.000000,53,58,61,64,72,81,94,110,150,150,150,2086,0,53,55.264245254079505,4.065400000399677,151.4566999994713,7249.3384467881115
1780887891,200,,Aggregated,224.857143,0.000000,54,59,63,66,74,83,100,110,150,150,150,2598,0,54,56.49972798306972,4.065400000399677,151.4566999994713,7115.277521170131
1780887892,200,,Aggregated,254.250000,0.000000,55,60,65,69,79,95,120,130,180,200,200,3152,0,55,58.087745970816606,4.065400000399677,203.41179999923042,7085.4860406091375
