Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780887898,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780887899,20,,Aggregated,0.000000,0.000000,5,15,60,68,77,77,79,84,84,84,84,70,0,5,24.407272857154435,2.2339999995892867,83.60439999978553,7277.157142857143
1780887900,60,,Aggregated,0.000000,0.000000,7,9,14,20,40,69,77,78,84,84,84,211,0,7,15.03126966824669,2.0262999996703,83.60439999978553,9360.037914691944
1780887901,80,,Aggregated,69.000000,0.000000,6,9,13,17,28,55,74,77,84,84,84,400,0,6,12.498193749997881,1.8456000007063267,83.60439999978553,9635.455
1780887902,100,,Aggregated,102.000000,0.000000,6,9,11,14,26,35,68,77,84,84,84,663,0,6,10.94122564101032,1.7228999995495542,83.60439999978553,9507.057315233786
1780887903,120,,Aggregated,133.000000,0.000000,6,9,12,14,22,30,46,69,79,84,84,1004,0,6,10.351571115519567,1.7228999995495542,83.60439999978553,9485.714143426294
1780887904,140,,Aggregated,164.500000,0.000000,7,9,11,13,21,30,40,68,79,84,84,1383,0,7,10.104454085309532,1.7228999995495542,83.60439999978553,9700.04266088214
1780887905,160,,Aggregated,199.400000,0.000000,8,11,14,16,25,32,42,56,79,84,84,1837,0,8,11.344594991822124,1.7228999995495542,83.60439999978553,10095.15623298857
1780887906,180,,Aggregated,229.333333,0.000000,9,13,16,19,27,37,44,52,78,84,84,2343,0,9,12.510086513007662,1.7228999995495542,83.60439999978553,10181.208706786172
1780887907,200,,Aggregated,259.857143,0.000000,10,15,20,24,32,38,43,49,78,84,84,2894,0,10,14.319112992388412,1.7228999995495542,83.60439999978553,10333.380442294403
1780887908,200,,Aggregated,289.625000,0.000000,12,20,27,31,41,68,100,120,150,150,150,3441,0,12,20.284268962504534,1.7228999995495542,149.54870000019582,10183.299331589655
