Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780887995,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780887996,100,,Aggregated,0.000000,0.000000,8,16,52,70,74,82,88,96,97,97,97,179,0,8,25.288389385519753,2.462799999193521,96.83140000015555,17280.58659217877
1780887997,150,,Aggregated,0.000000,0.000000,8,14,21,40,71,81,92,110,120,120,120,518,0,8,21.210461969151776,2.3856999996496597,121.33469999935187,16458.864864864863
1780887998,200,,Aggregated,65.000000,0.000000,9,17,23,32,67,81,96,110,130,140,140,1005,0,9,20.968618407991993,2.3856999996496597,136.7184000000634,17344.329353233832
1780887999,250,,Aggregated,144.000000,0.000000,10,18,24,32,66,85,110,120,160,160,160,1637,0,10,22.169829993902578,2.3856999996496597,162.7214999998614,17283.82284667074
1780888000,300,,Aggregated,226.000000,0.000000,16,29,41,49,78,98,120,150,220,230,230,2388,0,16,29.24860795645203,2.3856999996496597,230.02090000045428,17318.615577889446
1780888001,350,,Aggregated,297.750000,0.000000,24,53,79,96,150,210,280,310,400,550,550,3035,0,24,55.823815551897574,2.3856999996496597,550.8286999993288,18042.84349258649
1780888002,400,,Aggregated,366.000000,0.000000,41,85,120,150,230,280,340,370,470,550,550,3751,0,41,80.32781540922726,2.3856999996496597,550.8286999993288,18169.50439882698
1780888003,450,,Aggregated,418.166667,0.000000,66,130,170,190,260,310,360,410,590,650,650,4527,0,66,102.53672690523618,2.3856999996496597,654.2435999999725,17951.055224210293
1780888005,500,,Aggregated,473.625000,0.000000,91,160,190,220,290,340,430,500,710,830,830,5231,0,91,122.40997920091641,2.3856999996496597,830.7133000007525,18004.297266297075
1780888006,500,,Aggregated,503.000000,0.000000,120,190,240,270,350,450,590,650,930,1000,1000,5960,0,120,154.44970129194238,2.3856999996496597,1037.6812000004065,18065.624161073825
