Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780887866,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780887867,20,,Aggregated,0.000000,0.000000,6,15,31,37,46,47,50,62,62,62,62,69,0,6,16.786198550713987,3.3557999995537102,61.90319999950589,10951.782608695652
1780887868,40,,Aggregated,0.000000,0.000000,6,14,16,23,37,43,47,47,62,62,62,205,0,6,13.501328292623818,2.9448999994201586,61.90319999950589,16125.326829268293
1780887869,80,,Aggregated,49.000000,0.000000,7,14,17,22,36,41,47,50,62,62,62,412,0,7,13.429115048531404,2.8990999999223277,61.90319999950589,19183.555825242718
1780887870,100,,Aggregated,83.500000,0.000000,7,14,16,18,30,39,45,47,62,62,62,669,0,7,12.42116786246227,2.4339000001418754,61.90319999950589,19581.14798206278
1780887871,120,,Aggregated,116.333333,0.000000,7,13,16,18,28,35,42,46,59,62,62,1006,0,7,11.83556819084423,2.2744999996575643,61.90319999950589,19956.1282306163
1780887872,140,,Aggregated,145.500000,0.000000,7,14,16,18,29,39,47,56,150,160,160,1401,0,7,12.84422719485679,2.2744999996575643,155.56199999991804,19049.45824411135
1780887873,160,,Aggregated,178.800000,0.000000,7,13,16,18,29,39,47,57,150,160,160,1879,0,7,12.527760457687023,2.2744999996575643,155.56199999991804,18111.726982437467
1780887874,180,,Aggregated,208.833333,0.000000,7,14,16,18,29,37,47,53,140,160,160,2387,0,7,12.645450481776122,2.2744999996575643,155.56199999991804,18047.348554671134
1780887875,200,,Aggregated,241.428571,0.000000,8,15,18,22,33,42,56,67,140,160,160,2965,0,8,14.460012984825353,2.2744999996575643,155.56199999991804,17863.30691399663
1780887876,200,,Aggregated,275.375000,0.000000,9,16,20,25,37,49,68,96,140,160,160,3585,0,9,16.3064886471476,2.2744999996575643,155.56199999991804,18066.752859135286
