Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780888045,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780888046,50,,Aggregated,0.000000,0.000000,180,190,190,190,260,260,260,260,260,260,260,7,0,180,177.80562857127993,119.3262999995568,257.6422000001912,70419.57142857143
1780888047,100,,Aggregated,0.000000,0.000000,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,14,0,260,648.3861285713439,119.3262999995568,1147.701099999722,49733.5
1780888048,150,,Aggregated,0.000000,0.000000,1100,1100,2100,2100,2100,2100,2100,2100,2100,2100,2100,21,0,1100,1127.8698333332743,119.3262999995568,2100.392300000749,36090.90476190476
1780888049,250,,Aggregated,7.000000,0.000000,2100,2100,3100,3100,3100,3100,3100,3100,3100,3100,3100,28,0,1100,1631.2638642856589,119.3262999995568,3145.201399999678,29264.321428571428
1780888050,300,,Aggregated,7.000000,0.000000,2100,3100,3100,4100,4100,4200,4200,4200,4200,4200,4200,35,0,2100,2133.893814285693,119.3262999995568,4166.038499999559,25708.2
1780888051,350,,Aggregated,7.000000,0.000000,3100,3100,4100,4200,5200,5200,5200,5200,5200,5200,5200,42,0,2100,2641.42179761904,119.3262999995568,5191.04789999983,23334.45238095238
1780888052,400,,Aggregated,7.000000,0.000000,3100,4100,5200,5200,6200,6200,6200,6200,6200,6200,6200,49,0,3100,3146.7432040816466,119.3262999995568,6185.269100000369,20537.081632653062
1780888053,450,,Aggregated,7.000000,0.000000,4100,5200,6200,6200,6600,6800,6900,7200,7200,7200,7200,56,0,3100,3604.3033625000057,119.3262999995568,7195.785599999908,21376.76785714286
1780888054,500,,Aggregated,7.000000,0.000000,4100,5200,6200,6600,7300,7400,7400,7600,7600,7600,7600,63,0,4100,4021.630804761895,119.3262999995568,7552.905499999724,24512.84126984127
1780888055,500,,Aggregated,7.000000,0.000000,5200,6200,6800,7300,8300,8400,8400,8400,8400,8400,8400,70,0,4200,4456.166195714272,119.3262999995568,8447.262599999704,29603.371428571427
